eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature (°C),Precipitation,Visibility,Wind ,Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode
S3P_G,S3P,FALSE,2025-09-10,10:00,Quadrat,Photo Taken,540,Metres,South Hill,14,Heavy,Low,Medium,N55  41.907,W005  16.884,,,,WGS84,GB
S3P_H,S3P,FALSE,2025-09-10,10:00,Quadrat,Photo Taken,540,Metres,South Hill,14,Heavy,Low,Medium,N55  41.862,W005  16.861,,,,WGS84,GB
S3P_I,S3P,FALSE,2025-09-10,10:00,Quadrat,Photo Taken,540,Metres,South Hill,14,Heavy,Low,Medium,N55  41.843,W005  16.821,,,,WGS84,GB
S3P_J,S3P,FALSE,2025-09-10,10:00,Quadrat,Photo Taken,540,Metres,South Hill,14,Heavy,Low,Medium,N55  41.828,W005  16.810,,,,WGS84,GB
S1P_A,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.870,W005  17.278,,,,WGS84,GB
S1P_B,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.857,W005  17.272,,,,WGS84,GB
S1P_C,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.839,W005  17.280,,,,WGS84,GB
S1P_D,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.825,W005  17.275,,,,WGS84,GB
S1P_E,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.809,W005  17.269,,,,WGS84,GB
S1P_F,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.793,W005  17.255,,,,WGS84,GB
S1P_G,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.778,W005  17.249,,,,WGS84,GB
S1P_H,S1P,FALSE,2025-09-11,10:00,Quadrat,Photo Taken,210,Metres,South Hill,16,None,High,High,N55  41.763,W005  17.235,,,,WGS84,GB
S2P_A,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.935,W005  17.240,,,,WGS84,GB
S2P_B,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.924,W005  17.220,,,,WGS84,GB
S2P_C,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.914,W005  17.203,,,,WGS84,GB
S2P_D,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.894,W005  17.194,,,,WGS84,GB
S2P_E,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.881,W005  17.177,,,,WGS84,GB
S2P_F,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.867,W005  17.160,,,,WGS84,GB
S2P_G,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.857,W005  17.140,,,,WGS84,GB
S2P_H,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.843,W005  17.134,,,,WGS84,GB
S2P_I,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.828,W005  17.120,,,,WGS84,GB
S2P_J,S2P,FALSE,2025-09-11,14:00,Quadrat,Photo Taken,270,Metres,South Hill,16,None,High,High,N55  41.817,W005  17.100,,,,WGS84,GB
